"%s was successfully added to your shopping cart.","%s was successfully added to your shopping cart."
"%s was added to your shopping cart.","Bạn đã thêm ""%s"" vào giỏ hàng"
"&laquo; Back to Billing Information","&laquo; Back to Billing Information"
"&laquo; Back to Select Addresses","&laquo; Back to Select Addresses"
"&laquo; Back to Shopping Cart","&laquo; Back to Shopping Cart"
"* Required Fields","* Required Fields"
"Add New Address","Add New Address"
"Add New Condition","Add New Condition"
"Add to Cart","Add to Cart"
"Add to Compare","Add to Compare"
"Add to Wishlist","Add to Wishlist"
"Address","Địa chỉ"
"Address %s of %s","Address %s of %s"
"After adding a product redirect to shopping cart","After adding a product redirect to shopping cart"
"Allow Guest Checkout","Allow Guest Checkout"
"Already registered?","Already registered?"
"An error occurred in the process of payment","An error occurred in the process of payment"
"Apply Coupon","Apply Coupon"
"Are you sure you would like to remove this item from the shopping cart?","Bạn có muốn bỏ sản phẩm này ra khỏi giỏ hàng?"
"Back","Back"
"Back to Shipping Information","Back to Shipping Information"
"Based on your selection, you may be interested in the following items:","Based on your selection, you may be interested in the following items:"
"Billing Address","Billing Address"
"Billing Information","Thông tin thanh toán"
"Billing Information - %s","Billing Information - %s"
"Can not add item to shopping cart","Can not add item to shopping cart"
"Can not apply coupon code.","Can not apply coupon code."
"Can't open overview page","Can't open overview page"
"Cancel Coupon","Cancel Coupon"
"Cannot remove item","Cannot remove item"
"Cannot update shopping cart","Cannot update shopping cart"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Cart Subtotal:","Cart Subtotal:"
"Change","Change"
"Change Billing Address","Change Billing Address"
"Checkbox text","Checkbox text"
"Checkout","Checkout"
"Checkout Conditions","Checkout Conditions"
"Checkout Options","Checkout Options"
"Checkout Section","Checkout Section"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"Checkout as Guest","Checkout as Guest"
"Checkout as a Guest or Register","Checkout as a Guest or Register"
"Checkout method","Checkout method"
"Checkout with Multiple Addresses","Checkout with Multiple Addresses"
"City","City"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Nhấn <a href=""%s"" onclick=""this.target='_blank'"">vào đây</a> để in đơn hàng của bạn."
"Close","Close"
"Company","Company"
"Condition Name","Condition Name"
"Condition was successfully deleted","Condition was successfully deleted"
"Condition was successfully saved","Condition was successfully saved"
"Configurable product image","Configurable product image"
"Confirm Password","Confirm Password"
"Content","Content"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","Continue"
"Continue Shopping","Tiếp tục mua hàng"
"Clear Shopping Cart","Xóa giỏ hàng"
"Continue to Billing Information","Continue to Billing Information"
"Continue to Review Your Order","Continue to Review Your Order"
"Continue to Shipping Information","Continue to Shipping Information"
"Country","Quốc gia"
"Coupon code ""%s"" is not valid.","Mã giảm giá ""%s"" không đúng."
"Coupon code ""%s"" was applied successfully.","Đã áp dụng mã giảm giá ""%s""."
"Coupon code ""%s"" was applied.","Đã áp dụng mã giảm giá ""%s""."
"Coupon code was canceled successfully.","Coupon code was canceled successfully."
"Create Billing Address","Create Billing Address"
"Create Shipping Address","Create Shipping Address"
"Customer Address is not valid.","Customer Address is not valid."
"Data saving problem","Data saving problem"
"Default Billing","Default Billing"
"Default Shipping","Default Shipping"
"Delete Condition","Delete Condition"
"Details","Details"
"Disable Onepage Checkout","Disable Onepage Checkout"
"Disabled","Disabled"
"Discount Codes","Mã giảm giá"
"Display Cart Summary","Display Cart Summary"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Display item quantities","Display item quantities"
"Display number of items in cart","Display number of items in cart"
"Easy access to your order history and status","Easy access to your order history and status"
"Edit","Edit"
"Edit Address","Edit Address"
"Edit Billing Address","Edit Billing Address"
"Edit Items","Edit Items"
"Edit Shipping Address","Edit Shipping Address"
"Edit Terms and Conditions","Edit Terms and Conditions"
"Edit Your Cart","Edit Your Cart"
"Email Address","Email Address"
"Enable Terms and�Conditions","Enable Terms and�Conditions"
"Enabled","Enabled"
"Enter a New Address","Enter a New Address"
"Enter your coupon code if you have one.","Nhập mã giảm giá ở đây."
"Enter your destination to get a shipping estimate.","Enter your destination to get a shipping estimate."
"Error while deleting this condition. Please try again later.","Error while deleting this condition. Please try again later."
"Error while saving this condition. Please try again later.","Error while saving this condition. Please try again later."
"Estimate Shipping and Tax","Estimate Shipping and Tax"
"Excl. Tax","Excl. Tax"
"Fast and easy check out","Fast and easy check out"
"Fax","Fax"
"Forgot an Item?","Forgot an Item?"
"Forgot your password?","Forgot your password?"
"Get a Quote","Get a Quote"
"Grand Total:","Grand Total:"
"Grouped product image","Grouped product image"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Tax"
"Invalid data","Invalid data"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid shipping method.","Invalid shipping method."
"Items","Items"
"Load customer quote error","Load customer quote error"
"Loading next step...","Loading next step..."
"Login","Login"
"Manage Checkout Terms and Conditions","Manage Checkout Terms and Conditions"
"Maximum display Recently added item(s)","Maximum display Recently added item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximum qty allowed for Shipping to multiple addresses is %s"
"Move to Wishlist","Move to Wishlist"
"My Account","My Account"
"My Cart","Giỏ hàng"
"My Cart (%s item)","My Cart (%s item)"
"My Cart (%s items)","My Cart (%s items)"
"My Cart Link","My Cart Link"
"New Address","Địa chỉ khác"
"New Condition","New Condition"
"Order #","Order #"
"Order Review","Tóm tắt đơn hàng"
"Order Success","Order Success"
"Other items in your order","Other items in your order"
"Password","Password"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","Phương thức thanh toán"
"Payment Method","Payment Method"
"Payment method is not defined","Payment method is not defined"
"Place Order","Đặt hàng"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Please agree to all Terms and Conditions before placing the orders.","Please agree to all Terms and Conditions before placing the orders."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Please enter a valid zip code. For example 90602 or 90602-1234."
"Please log in below:","Please log in below:"
"Please select region, state or province","Lựa chọn tỉnh thành phố"
"Please select shipping address for applicable items","Please select shipping address for applicable items"
"Please select shipping methods for all addresses","Please select shipping methods for all addresses"
"Price","Price"
"Edit item","Thay đổi"
"Remove This Item","Xóa sản phẩm này"
"Proceed to Checkout","Thanh toán"
"Product","Product"
"Cart updated.","Đã cập nhật giỏ hàng."
"Product Name","Tên SP"
"Product does not exist","Product does not exist"
"Qty","SL"
"Quote Lifetime (days)","Quote Lifetime (days)"
"Recently added item(s)","Recently added item(s)"
"Register","Register"
"Register and save time!","Register and save time!"
"Register to Create an Account","Register to Create an Account"
"Register with us for future convenience:","Register with us for future convenience:"
"Remove","Remove"
"Remove Item","Remove Item"
"Remove Product","Remove Product"
"Remove item","Xóa sản phẩm"
"Already registered? Click here to login","Nếu bạn đã đăng ký, nhấn vào đây để đăng nhập."
"Email address","Địa chỉ e-mail"
"Forgot your password?","Quên mật khẩu?"
"Review Order","Review Order"
"Review Order - %s","Review Order - %s"
"Sales","Sales"
"Save Condition","Save Condition"
"Save in address book","Thêm vào sổ địa chỉ của tôi"
"Select Address","Select Address"
"Select Addresses","Select Addresses"
"Select Shipping Method","Select Shipping Method"
"Select State/Province...","Select State/Province..."
"Select a billing address from your address book or enter a new address.","Chọn một địa chỉ thanh toán dưới đây hoặc tạo địa chỉ khác."
"Select a shipping address from your address book or enter a new address.","Chọn một địa chỉ nhận hàng dưới đây hoặc tạo địa chỉ khác."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send to","Send to"
"Ship to Multiple Addresses","Ship to Multiple Addresses"
"Ship to different address","Ship to different address"
"Ship to this address","Chuyển hàng tới địa chỉ này"
"Shipping Address","Shipping Address"
"Shipping Information","Địa chỉ nhận hàng"
"Shipping Method","Phương thức vận chuyển"
"Shipping Methods","Phương thức vận chuyển"
"Shipping method has not been selected yet","Shipping method has not been selected yet"
"Shipping selection is not applicable","Shipping selection is not applicable"
"Shipping to","Shipping to"
"Shopping Cart","Giỏ hàng"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Shopping Cart is Empty","Giỏ hàng trống"
"Show Content as","Show Content as"
"Some of the products you requested are not available in the desired quantity","Some of the products you requested are not available in the desired quantity"
"Some of the products you requested are unavailable","Some of the products you requested are unavailable"
"Sorry, Onepage Checkout is disabled.","Sorry, Onepage Checkout is disabled."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"State/Province","Tỉnh/Thành phố"
"Status","Status"
"Store View","Store View"
"Street Address","Street Address"
"Street Address ","Street Address "
"Submitting order information...","Đang xử lý đơn hàng..."
"Subtotal","Tổng"
"Telephone","Telephone"
"Terms and Conditions","Terms and Conditions"
"Terms and Conditions Information","Terms and Conditions Information"
"Terms and conditions","Terms and conditions"
"Text","Text"
"Thank you for your purchase!","Kids Plaza cảm ơn bạn đã mua hàng!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","There are <a href=""%s""><strong>%s items</strong></a> in your cart."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","There is <a href=""%s""><strong>1 item</strong></a> in your cart."
"There is already a customer registered using this email address","There is already a customer registered using this email address"
"There was an error processing your order. Please contact us or try again later.","There was an error processing your order. Please contact us or try again later."
"This condition no longer exists","This condition no longer exists"
"Total","Total"
"Total for this address","Total for this address"
"Unit Price","Unit Price"
"Update Qty &amp; Addresses","Update Qty &amp; Addresses"
"Update Shopping Cart","Cập nhật giỏ hàng"
"Update Total","Update Total"
"Use Billing Address","Sử dụng địa chỉ thanh toán"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress."
"You have no items in your shopping cart.","You have no items in your shopping cart."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Bạn sẽ nhận được một email thông báo từ Kids Plaza, kèm theo một liên kết để theo dõi trạng thái đơn hàng của bạn."
"Your Checkout Progress","Your Checkout Progress"
"Your order # is: %s.","Mã đơn hàng của bạn là: #%s."
"Your order has been received","Your order has been received"
"Your order number is ","Your order number is "
"Zip/Postal Code","Zip/Postal Code"
"osCommerce Orders","osCommerce Orders"
"separate by "",""","separate by "","""
"My Cart","My Cart"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Checkout","Thanh toán"
"Please <a href=""%s"">continue shopping</a>.","Nhấn <a href=""%s"">vào đây</a> để tiếp tục mua hàng."
"Your order has been received.","Đặt hàng thành công"
"Click <a href=""%s"">here</a> to continue shopping.","Nhấn <a href=""%s"">vào đây</a> để tiếp tục mua hàng."
"Create an account for later use","Tạo tài khoản để sử dụng"
"Edit item parameters","chỉnh sửa"
"Add to wishlist","Cho vào danh sách yêu thích"
