"""%s"" coupon code is not valid.","""%s"" mã giảm giá không được chấp nhận."
"%s","%s"
"%s / %s rate:","%s / %s tỷ lệ:"
"%s for %s","%s for %s"
"%s order(s) cannot be canceled","%s đơn hàng(s) không thể hủy bỏ"
"%s order(s) have been canceled.","%s đơn hàng(s) đã bị hủy bỏ."
"%s order(s) have been put on hold.","%s order(s) đã được giữ lại."
"%s order(s) have been released from holding status.","%s order(s) have been released from holding status."
"%s order(s) were not put on hold.","%s order(s) were not put on hold."
"%s order(s) were not released from holding status.","%s order(s) were not released from holding status."
"* - Enter custom price excluding tax","* - Nhập giá tùy chỉnh chưa bao gồm thuế"
"* - Enter custom price including tax","* - Nhập giá tùy chỉnh bao gồm thuế"
"-- Please Select --","-- Vui lòng chọn --"
"-- Please Select Billing Agreement--","-- Vui lòng chọn hình thức thanh toán--"
"About This Order:","Về đơn hàng này:"
"About This Profile:","About This Profile:"
"About Your Invoice","Về thanh toán của bạn"
"About Your Order","Về đơn hàng của bạn"
"About Your Refund","Về hoàn trả"
"About Your Shipment","About Your Shipment"
"Accept Payment","chấp nhận thanh toán"
"Accept or Deny Payment","Chấp nhận hoặc từ chối thanh toán"
"Account Information","Thông tin tài khoản"
"Action","Hành động"
"Actions","Các hành động"
"Activate","Kích hoạt"
"Active","Hoạt động"
"Add","Thêm"
"Add New Address","Thêm địa chỉ mới"
"Add Order Comments","Thêm nhận xét đơn hàng"
"Add Package","Thêm gói"
"Add Products","Thêm sản phẩm"
"Add Selected Product(s) to Option","Thêm sản phẩm được chọn(s) để lựa chọn"
"Add Selected Product(s) to Order","Thêm sản phẩm được chọn(s) để đặt hàng"
"Add Selected Product(s) to Package","Add Selected Product(s) to Package"
"Add To Order","Thêm vào đơn hàng"
"Add Tracking Number","Add Tracking Number"
"Add comment to order","Thêm bình luận đơn hàng"
"Add new comment to credit memo","Add new comment to credit memo"
"Add new comment to shipment","Add new comment to shipment"
"Add new tracking number","Add new tracking number"
"Add to Cart","Thêm vào giỏ hàng"
"Additional Product Info","Thêm thông tin sản phẩm"
"Address","Địa chỉ"
"Address model is not defined.","Address model is not defined."
"Adjustment Fee","Adjustment Fee"
"Adjustment Refund","Adjustment Refund"
"Agreement Information","Agreement Information"
"Allow Reorder","Allow Reorder"
"Amount","Số tiền"
"Amount: %s.","Số tiền: %s."
"An error occurred while assigning order status. Status has not been assigned.","An error occurred while assigning order status. Status has not been assigned."
"An error occurred while creating shipping label.","An error occurred while creating shipping label."
"An error occurred while saving order status. The status has not been added.","An error occurred while saving order status. The status has not been added."
"An error occurred while unassigning order status.","An error occurred while unassigning order status."
"An error occurred while updating the order address. The address has not been changed.","An error occurred while updating the order address. The address has not been changed."
"An item option with code %s already exists.","An item option with code %s already exists."
"Anchor Custom Title","Anchor Custom Title"
"Append Comments","Đóng dấu nhận xét"
"Apply","Áp dụng"
"Apply Coupon Code","Áp dụng mã giảm giá"
"Approved the payment online.","Approved the payment online."
"Are you sure you want to accept this payment?","Bạn chắc chắn muốn chấp nhận chi trả này?"
"Are you sure you want to cancel this order?","Bạn có chắc bạn muốn hủy không?"
"Are you sure you want to deny this payment?","Bạn chắc chắn muốn từ chối chi trả này?"
"Are you sure you want to do this?","Bạn chắc chắn muốn làm điều này?"
"Are you sure you want to send Creditmemo email to customer?","Are you sure you want to send Creditmemo email to customer?"
"Are you sure you want to send Invoice email to customer?","Bạn chắc chắn muốn gửi email hóa đơn cho khách hàng?"
"Are you sure you want to send Shipment email to customer?","Are you sure you want to send Shipment email to customer?"
"Are you sure you want to send order email to customer?","Bạn có chắc bạn muốn gửi email đến khách hàng không ?"
"Are you sure you want to void the payment?","Are you sure you want to void the payment?"
"Are you sure?","Bạn có chắc chắn không?"
"Are you sure? This order will be canceled and a new one will be created instead","Bạn có chắc chắn? Đơn hàng này sẽ bị hủy bỏ và một cái mới sẽ được tạo ra để thay thế"
"Assign Order Status to State","Assign Order Status to State"
"Assign Status to State","Assign Status to State"
"Assignment Information","Assignment Information"
"At least a payment ID must be set.","At least a payment ID must be set."
"Authorization","Authorization"
"Authorized amount of %s.","Authorized amount of %s."
"Authorizing amount of %s is pending approval on gateway.","Authorizing amount of %s is pending approval on gateway."
"Back","Back"
"Back to Billing Agreements","Back to Billing Agreements"
"Back to My Orders","Back to My Orders"
"Back to Recurring Profiles","Back to Recurring Profiles"
"Backordered","Backordered"
"Bestsellers","Bestsellers"
"Bill to Name","Tên hóa đơn"
"Billing","Hóa đơn"
"Billing Address","Địa chỉ hóa đơn"
"Billing Agreement","chấp nhận thanh toán"
"Billing Agreement # %s","chấp nhận thanh toán # %s"
"Billing Agreement #%s","chấp nhận thanh toán #%s"
"Billing Agreement View","Billing Agreement View"
"Billing Agreements","Chấp nhận thanh toán"
"Billing Last Name","Billing Last Name"
"Billing ZIP Code","Billing ZIP Code"
"Buy %s for price %s","Mua %s for giá %s"
"CSV","CSV"
"Cancel","Hủy bỏ"
"Cancel credit memo","Cancel credit memo"
"Cancel invoice","Hủy bỏ hóa đơn"
"Cancel order","Hủy bỏ đơn hàng"
"Canceled","Đã hủy"
"Canceled order offline.","Canceled order offline."
"Canceled order online.","hủy bỏ đơn hàng trực tuyến."
"Cannot add order history.","Không thể thêm lịch sử đơn hàng."
"Cannot create an empty shipment.","Không thể tạo giỏ hàng trống."
"Cannot determine the field name.","Không thể xác định trường tên."
"Cannot do invoice for order.","Không thể làm hóa đơn đặt hàng."
"Cannot do shipment for order.","Cannot do shipment for order."
"Cannot get order instance","Cannot get order instance"
"Cannot get the order instance.","Cannot get the order instance."
"Cannot register an existing credit memo.","Không thể đăng ký tín dụng."
"Cannot register existing invoice","Không thể đăng ký hóa đơn"
"Cannot register existing shipment","Không thể đăng ký vận chuyển"
"Capture","Capture"
"Capture Amount","Capture Amount"
"Capture Offline","Capture Offline"
"Capture Online","Capture Online"
"Capture invoice","Capture invoice"
"Captured amount of %s online.","Số lượng nắm giữ %s trực tuyến."
"Capturing amount of %s is pending approval on gateway.","Capturing amount of %s is pending approval on gateway."
"Carrier","Vận chuyển"
"Carrier/Method","Vận chuyển/Phương thức"
"Change status, add comments","Chuyển đổi trạng thái, thêm nhận xét"
"Changing address information will not recalculate shipping, tax or other order amount.","Thay đổi thông tin địa chỉ sẽ không tính toán lại vận chuyển, thuế hoặc số lượng đơn đặt hàng khác."
"Checkout Totals Sort Order","Tổng cộng thanh toán theo thứ tự"
"City","Thành phố"
"Clear Shopping Cart","Xóa giỏ hàng"
"Click to change shipping method","Nhấn vào đây để thay đổi phương thức vận chuyển"
"Close","Đóng"
"Closed","Đã đóng"
"Comma-separated.","Dấu phẩy."
"Comment","Nhận xét"
"Comment Text","Nhận xét"
"Comments","Các nhận xét"
"Comments History","Lịch sử nhận xét"
"Company","Công ty"
"Complete","Hoàn thành"
"Configure","Cấu hình"
"Configure and Add to Order","Cấu hình và thêm vào đơn hàng"
"Contents","Nội dung"
"Continue","Tiếp"
"Country","Đất nước"
"Coupons","Mã giảm giá"
"Create","Tạo"
"Create New Customer","Tạo khách hàng mới"
"Create New Order","Tạo đơn hàng mới"
"Create New Order Status","Tạo trạng thái đơn hàng mới"
"Create New Order for %s","Tạo đơn hàng mới để %s"
"Create New Order for %s in %s","Tạo đơn hàng mới để %s trong %s"
"Create New Order for New Customer","Tạo đơn hàng mới cho khách hàng mới"
"Create New Order for New Customer in %s","Tạo đơn hàng mới cho khách hàng mới trong %s"
"Create New Status","Tạo trạng thái mới"
"Create Packages","Tạo gói"
"Create Shipment","Tạo shipment"
"Create Shipping Label","Create Shipping Label"
"Create Shipping Label...","Create Shipping Label..."
"Create new credit memo for order","Tạo bản ghi nhớ tín dụng mới"
"Create new invoice for order","Tạo hóa đơn mới để đặt hàng"
"Create new shipment for order","Create new shipment for order"
"Create...","Tạo..."
"Created At","Tạo tại"
"Created billing agreement #%s.","Đã tạo thỏa thuận thanh toán #%s."
"Created:","Đã tạo:"
"Credit Memo","Ghi nhớ tín dụng"
"Credit Memo #","Ghi nhớ tín dụng #"
"Credit Memo # ","Ghi nhớ tín dụng # "
"Credit Memo #%1$s | %3$s | %2$s (%4$s)","Ghi nhớ tín dụng #%1$s | %3$s | %2$s (%4$s)"
"Credit Memo Comment Email Sender","Credit Memo Comment Email Sender"
"Credit Memo Comment Email Template","Credit Memo Comment Email Template"
"Credit Memo Comment Email Template for Guest","Credit Memo Comment Email Template for Guest"
"Credit Memo Comments","Những nhận xét ghi nhớ tín dụng"
"Credit Memo Email Sender","Người gửi email thông báo ghi nhớ tín dụng"
"Credit Memo Email Template","Mẫu email thông báo ghi nhớ tín dụng"
"Credit Memo Email Template for Guest","Credit Memo Email Template for Guest"
"Credit Memo Update","Credit Memo Update"
"Credit Memo Update for Guest","Credit Memo Update for Guest"
"Credit Memos","Bản ghi nhớ tín dụng"
"Credit memo canceling problem.","Credit memo canceling problem."
"Credit memo cannot be canceled.","Ghi nhớ tín dụng không thể hủy bỏ."
"Credit memo has been created automatically","Ghi nhớ tín dụng đã được tạo tự động"
"Creditmemo","Ghi nhớ tín dụng"
"Custom Price","Chỉnh giá"
"Custom Value","Chỉnh giá trị"
"Customer","Khách hàng"
"Customer Can Define Start Date","Khách hàng định ngày bắt đầu"
"Customer Email","Email khách hàng"
"Customer Group","Nhóm khách hàng"
"Customer Last Name","Họ khách hàng"
"Customer My Account Order Creditmemo View","Xem tài khoản ghi nhớ tín dụng của khách hàng đặt hàng "
"Customer My Account Order History","Lịch sử đặt hàng của tài khoản khách hàng"
"Customer My Account Order Invoice View","Xem hóa đơn đặt hàng của tài khoản khách hàng"
"Customer My Account Order Shipment View","Customer My Account Order Shipment View"
"Customer My Account Order View","Xem đơn hàng của tài khoản khách hàng"
"Customer Name","Tên khách hàng"
"Customer\'s Current Activities","Hoạt động hiện thời của khách hàng"
"Customs Value","Customs Value"
"Date","Ngày"
"Date Shipped","Ngày chuyển đi"
"Default Status","trạng thái mặc định"
"Default Template","Mẫu mặc định"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)","Logo mặc định, sẽ được sử dụng trong tài liệu PDF và HTML.<br />(jpeg, tiff, png)"
"Delete","Xóa"
"Delete Package","Xóa gói hàng"
"Denied the payment online.","Từ chối thanh toán trực tuyến."
"Deny Payment","Từ chối thanh toán"
"Description Message","Mô tả thông điệp"
"Discount","Giảm giá"
"Discount (%s)","Giảm giá (%s)"
"Discount Amount","Số tiền giảm giá"
"Display Order ID in Header","Display Order ID in Header"
"Edit","Sửa"
"Edit Order","Sửa đơn hàng"
"Edit Order #%s","Sửa đơn hàng #%s"
"Edit Order %s %s Address","Sửa đơn hàng %s %s Địa chỉ"
"Edit Order Status","Sửa trạng thái đơn hàng"
"Email","Email"
"Email Address","Địa chỉ Email"
"Email Copy of Credit Memo","Email bản sao ghi nhớ tín dụng"
"Email Copy of Invoice","Email bản sao hóa đơn"
"Email Copy of Shipment","Email Copy of Shipment"
"Email Order Confirmation","Email xác nhận đơn hàng"
"Enable","Bật"
"Enabled","Đã bật"
"Enter the billing last name and email/ZIP as in the order billing address","Enter the billing last name and email/ZIP as in the order billing address"
"Entered data is incorrect. Please try again.","Dữ liệu nhập là sai. Xin vui lòng thử lại."
"Error to Show in Shopping Cart","Lỗi đưa vào giỏ hàng"
"Excel XML","Excel XML"
"Excl. Tax","Excl. Thuế"
"Expired","Hết hạn"
"Explanation","Giải thích"
"Failed to cancel the billing agreement.","Hủy bỏ thỏa thuận thanh toán thất bại."
"Failed to create billing agreement for this order.","Tạo thỏa thuận thanh toán cho đơn hàng thất bại."
"Failed to finish billing agreement wizard.","Failed to finish billing agreement wizard."
"Failed to send the order email.","Gửi email đặt hàng thất bại."
"Failed to start billing agreement wizard.","Failed to start billing agreement wizard."
"Failed to update the payment.","Cập nhật thanh toán thất bại."
"Failed to update the profile.","Cập nhật hồ sơ thất bại."
"Failed to void the payment.","Failed to void the payment."
"Fetch","Fetch"
"File extension not known or unsupported type in the following shipment: %s","File extension not known or unsupported type in the following shipment: %s"
"Find Order By:","Tìm kiếm đơn hàng bởi:"
"First Name","Tên"
"From","Từ"
"From Name","Từ tên"
"From:","Từ:"
"G.T. (Base)","G.T. (Base)"
"G.T. (Purchased)","G.T. (Mua)"
"General Information","General Information"
"Get Payment Update","Cập nhật thanh toán"
"Get Update","Được cập nhật"
"Get shipping methods and rates","Sét phương thức vận chuyển và thuế"
"Gift Message","Gift Message"
"Gift Message for This Order","Thông điệp cho đơn hàng"
"Gift Message for the Entire Order","Gift Message for the Entire Order"
"Gift Message for this Order","Thông điệp cho đơn hàng"
"Gift Options","Tùy chọn quà tặng"
"Girth","Girth"
"Grand Total","Tổng cộng"
"Grand Total to be Charged","Tổng cộng được tính"
"Guest","Khách hàng"
"Height","Độ cao"
"Hold","Nắm giữ"
"Hold action is not available.","Hold action is not available."
"Hold order","Giữ đơn hàng"
"ID","ID"
"ID #","ID #"
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %s. Transaction ID: ""%s""","IPN ""Hoàn tiền"". Refund issued by merchant. Registered notification about refunded amount of %s. Transaction ID: ""%s"""
"If empty, the default description above will be used.","If empty, the default description above will be used."
"If empty, the default error above will be used.","If empty, the default error above will be used."
"If the invoice was created offline, try creating an offline creditmemo.","If the invoice was created offline, try creating an offline creditmemo."
"Incl. Tax","Incl. Thuế"
"Information","Thông tin"
"Initial Fee","Khoản phí ban đầu"
"Initial Fees","Các khoản phí ban đầu"
"Initial period payment","Thanh toán ban đầu"
"Insufficient information to create shipping label(s). Please verify your Store Information and Shipping Settings.","Insufficient information to create shipping label(s). Please verify your Store Information and Shipping Settings."
"Invalid block: %s.","Lỗi vô hiệu hóa: %s."
"Invalid carrier specified.","Invalid carrier specified."
"Invalid draw line data. Please define ""lines"" array.","Invalid draw line data. Please define ""lines"" array."
"Invalid entity model","Invalid entity model"
"Invalid item option format.","Invalid item option format."
"Invalid qty to invoice item ""%s""","Invalid qty to invoice item ""%s"""
"Invalid qty to refund item ""%s""","Invalid qty to refund item ""%s"""
"Invalid qty to ship for item ""%s""","Invalid qty to ship for item ""%s"""
"Invalid renderer model","Invalid renderer model"
"Invalid request for adding product to quote.","Invalid request for adding product to quote."
"Invoice","Hóa đơn"
"Invoice #","Hóa đơn #"
"Invoice # ","Hóa đơn # "
"Invoice #%1$s | %2$s | %4$s (%3$s)","Hóa đơn #%1$s | %2$s | %4$s (%3$s)"
"Invoice #%s","Hóa đơn #%s"
"Invoice Comment Email Sender","người gửi email bình luận hóa đơn"
"Invoice Comment Email Template","Mẫu email bình luận hóa đơn"
"Invoice Comment Email Template for Guest","mẫu email bình luận hóa đơn cho khách hàng"
"Invoice Comments","Nhận xét Hóa đơn"
"Invoice Date","Ngày"
"Invoice Email Sender","Người gửi email hóa đơn"
"Invoice Email Template","Mẫu email hóa đơn"
"Invoice Email Template for Guest","Mẫu email hóa đơn cho khách hàng"
"Invoice Update","Nâng cấp hóa đơn"
"Invoice Update for Guest","Nâng cấp hóa đơn khách hàng"
"Invoice and Packing Slip Design","Invoice and Packing Slip Design"
"Invoice and Ship","Invoice and Ship"
"Invoice canceling problem.","Hủy bỏ hóa đơn có vấn đề."
"Invoice cannot be canceled.","Hủy bỏ hóa đơn không thể hủy bỏ."
"Invoice cannot be captured.","Invoice cannot be captured."
"Invoice cannot be voided.","Invoice cannot be voided."
"Invoice capturing problem.","Hóa đơn có vấn đề."
"Invoice void problem","Invoice void problem"
"Invoice will be created without communication with payment gateway.","Invoice will be created without communication with payment gateway."
"Invoiced","Hóa đơn"
"Invoices","Các hóa đơn"
"Is Closed","Đóng"
"Item","Sản phẩm"
"Item Status","Trạng thái sản phẩm"
"Item object is not specified.","Sản phẩm không rõ ràng."
"Item options declaration error.","Lỗi chọn sản phẩm."
"Item ordered qty","Số lượng sản phẩm đặt hàng"
"Item qty declaration error.","Lỗi lựa chọn số lượng sản phẩm."
"Items","Các sản phẩm"
"Items Invoiced","Các hóa đơn"
"Items Ordered","Sản phẩm trong đơn hàng"
"Items Refunded","Hoàn trả sản phẩm"
"Items Shipped","Vận chuyển sản phẩm"
"Items in the Package","Items in the Package"
"Items maximum quantity or price do not allow checkout.","Số lượng sản phẩm trong kho không đủ để bạn thanh toán, Mời bạn chọn lại số lượng cần mua."
"Items options declaration error.","Lỗi chọn các sản phẩm."
"Items to Refund","Các sản phẩm hoàn trả"
"Items to Ship","Sản phẩm để vận chuyển"
"Key","Key"
"Last Name","Tên"
"Last Ordered Items","Các sản phẩm đặt hàng cuối cùng"
"Last status can\'t be unassigned from state.","Last status can\'t be unassigned from state."
"Length","Length"
"Link to the New Order","Chuyển đến đặt hàng mới"
"Link to the Previous Order","Chuyển đến đặt hàng trước đó"
"Logo for HTML Print View","Logo for HTML Print View"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)"
"Logo for PDF Print-outs (200x50)","Logo for PDF Print-outs (200x50)"
"Make Check payable to:","Make Check payable to:"
"Manage","Quản trị"
"Maximum amount available to refund is %s","Số lượng tối đa hoàn trả %s"
"Maximum shipping amount allowed to refund is: %s","Maximum shipping amount allowed to refund is: %s"
"Message","Lời nhắn"
"Message:","Lời nhắn:"
"Minimum Amount","Số lượng tối thiểu"
"Minimum Order Amount","Số lượng đặt hàng tối thiểu"
"Mixed","Trộn"
"Most Viewed","Xem nhiều nhất"
"Most Viewed Products Report","Báo cáo những sản phẩm xem nhiều nhất"
"Move to Shopping Cart","Chuyển vào giỏ hàng"
"Move to Wishlist","Chuyển vào mục ưa thích"
"Multi-address Description Message","Multi-address Description Message"
"Multi-address Error to Show in Shopping Cart","Multi-address Error to Show in Shopping Cart"
"My Orders","Đơn hàng của tôi"
"My Orders - Details","Đơn hàng của tôi - Chi tiết"
"N/A","N/A"
"Name","Tên"
"New","Mới"
"New Billing Agreement","Chấp nhận thanh toán mới"
"New Credit Memo","Ghi nhớ tín dụng mới"
"New Credit Memo for Guest","Ghi nhớ tín dụng mới cho khách hàng"
"New Credit Memo for Invoice #%s","Ghi nhớ tín dụng mới cho hóa đơn #%s"
"New Credit Memo for Order #%s","Ghi nhớ tín dụng mới cho đặt hàng #%s"
"New Invoice","Hóa đơn mới"
"New Invoice and Shipment for Order #%s","New Invoice and Shipment for Order #%s"
"New Invoice for Guest","Hóa đơn mới của khách hàng"
"New Invoice for Order #%s","Hóa đơn mới của đơn hàng #%s"
"New Order","Đơn hàng mới"
"New Order Confirmation Email Sender","Email người gửi xác nhận đơn hàng mới"
"New Order Confirmation Template","Mẫu xác nhận đơn hàng mới"
"New Order Confirmation Template for Guest","Mẫu xác nhận đơn hàng mới của khách hàng"
"New Order RSS","Đơn hàng mới RSS"
"New Order Status","Trạng thái đơn hàng mới"
"New Order for Guest","Đơn hàng mới của khách hàng"
"New Shipment","New Shipment"
"New Shipment for Guest","New Shipment for Guest"
"New Shipment for Order #%s","New Shipment for Order #%s"
"Newsletter Subscription","Newsletter Subscription"
"No","Không"
"No Items","Không có sản phẩm nào"
"No Items To Refund","Không có sản phẩm nào hoàn trả"
"No Payment Methods","No Payment Methods"
"No detail for number ""%s""","No detail for number ""%s"""
"No information available.","Thông tin không có sẵn."
"No items","Không có sản phẩm nào"
"No order(s) were put on hold.","No order(s) were put on hold."
"No order(s) were released from holding status.","No order(s) were released from holding status."
"No ordered items","Không có sản phẩm trong đơn hàng"
"No shipping information available","Thông tin vận chuyển không có sẵn"
"Nominal Items","Sản phẩm đại diện"
"Nominal item can be purchased standalone only. To proceed please remove other items from the quote.","Nominal item can be purchased standalone only. To proceed please remove other items from the quote."
"Nominal order registered.","Nominal order registered."
"Not Capture","Not Capture"
"Not Initialized","Not Initialized"
"Not Notified","Không thông báo"
"Not enough valid data to save the parent transaction ID.","Không đủ dữ liệu hợp lệ để lưu giao dịch."
"Notification Not Applicable","Notification Not Applicable"
"Notified","Thông báo"
"Notify Customer by Email","Thông báo cho khách hàng bằng Mail"
"Number","Số"
"Number of Invoiced Orders","Số lượng đơn hàng được lập hóa đơn"
"Number of Orders","Số lượng đơn hàng"
"Number of Refunded Orders","Số lượng đơn hàng hoàn trả"
"OK","Đồng ý"
"Offline Refunded","Trả lại Offline"
"On Hold","Giữ"
"Online Refunded","Trả lại Online"
"Order","Đơn hàng"
"Order #","Đơn hàng #"
"Order # ","Đơn hàng # "
"Order # %s","Đơn hàng # %s"
"Order # %s %s | %s","Đơn hàng # %s %s | %s"
"Order #%s","Đơn hàng #%s"
"Order #%s - %s","Đơn hàng #%s - %s"
"Order API","Đơn hàng API"
"Order Address Information","Thông tin địa chỉ đơn hàng"
"Order Comment","Nhận xét đơn hàng"
"Order Comment Email Sender","Gửi Email nhận xét đơn hàng"
"Order Comment Email Template","Order Comment Email Template"
"Order Comment Email Template for Guest","Order Comment Email Template for Guest"
"Order Comments","Những nhận xét đơn hàng"
"Order Credit Memos","Order Credit Memos"
"Order Currency:","Tiền tệ đơn hàng:"
"Order Date","Ngày đơn hàng"
"Order Date (%s)","Ngày đơn hàng (%s)"
"Order Date: ","Ngày đơn hàng: "
"Order Date: %s","Ngày đơn hàng: %s"
"Order Details","Chi tiết đơn hàng"
"Order Grand Total","Tổng đơn hàng"
"Order History","Lịch sử đơn hàng"
"Order History Info","Thông tin lịch sử đơn hàng"
"Order ID","ID đơn hàng"
"Order Information","Thông tin đơn hàng"
